time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-11-10T17:17:42.000Z,61.5154,-140.6761,0,3.6,ml,,,,0.76,ak,ak11437900,2014-11-10T22:15:34.000Z,"187km NNE of Cape Yakataga, Alaska",earthquake
2014-11-10T17:08:57.850Z,40.4103317,-121.4761658,6.83,2.11,md,8,138,0.04276,0.02,nc,nc72339020,2014-11-10T19:54:04.057Z,"23km WNW of Chester, California",earthquake
2014-11-10T16:53:54.000Z,61.5619,-147.5037,31.3,1.4,ml,,,,0.41,ak,ak11437842,2014-11-10T18:36:25.041Z,"75km ESE of Sutton-Alpine, Alaska",earthquake
2014-11-10T16:49:02.610Z,38.8343315,-122.7988358,2.32,1.54,md,27,55,0.007782,0.03,nc,nc72339005,2014-11-10T19:24:04.398Z,"6km WNW of Cobb, California",earthquake
2014-11-10T16:47:10.700Z,33.9796667,-116.8145,22.76,1.21,ml,23,45,0.05562,0.27,ci,ci37286832,2014-11-10T16:58:20.090Z,"7km NNW of Cabazon, California",earthquake
2014-11-10T16:31:00.000Z,63.5227,-148.9521,88.8,1.5,ml,,,,0.54,ak,ak11437840,2014-11-10T17:28:52.707Z,"14km N of Cantwell, Alaska",earthquake
2014-11-10T16:18:17.825Z,41.9014,-119.6215,0,3.11,ml,4,147.03,0.507,0.0831,nn,nn00467117,2014-11-11T00:20:58.321Z,"67km ESE of Lakeview, Oregon",earthquake
2014-11-10T16:13:56.000Z,65.1019,-150.0186,3.6,1.5,ml,,,,0.22,ak,ak11437819,2014-11-10T17:28:52.109Z,"31km ENE of Manley Hot Springs, Alaska",earthquake
2014-11-10T16:12:41.810Z,33.0351667,-116.5463333,16.36,1.45,ml,21,61,0.06275,0.3,ci,ci37286824,2014-11-10T16:56:35.790Z,"7km SE of Julian, California",earthquake
2014-11-10T16:11:56.180Z,37.4751663,-118.7868347,6.52,1.26,md,16,162,0.05333,0.04,nc,nc72338965,2014-11-10T17:41:07.556Z,"25km SE of Mammoth Lakes, California",earthquake
2014-11-10T16:07:36.270Z,34.1365,-117.6296667,11.11,1.34,ml,32,47,0.01724,0.33,ci,ci37286816,2014-11-10T16:56:54.720Z,"3km SE of San Antonio Heights, California",earthquake
2014-11-10T15:39:08.000Z,19.7448,-156.0647,10.9,3.8,ml,,237.599980992002,0.09881468,0.2,hv,hv60800231,2014-11-11T08:44:46.541Z,"8km WNW of Kalaoa, Hawaii",earthquake
2014-11-10T15:26:59.960Z,40.3711662,-124.3974991,21.98,2.59,md,10,245,0.0995,0.11,nc,nc72338925,2014-11-10T19:32:51.033Z,"25km SSW of Ferndale, California",earthquake
2014-11-10T15:25:15.000Z,60.2079,-141.578,0.3,1.6,ml,,,,0.69,ak,ak11437762,2014-11-10T16:14:20.892Z,"49km ENE of Cape Yakataga, Alaska",earthquake
2014-11-10T15:23:09.880Z,-36.2184,179.8083,45.93,4.8,mb,,112,1.802,0.62,us,usc000sw0y,2014-11-10T23:25:50.634Z,"Off the east coast of the North Island of New Zealand",earthquake
2014-11-10T15:19:38.760Z,33.7178333,-117.9733333,8.7,1.91,ml,41,84,0.04177,0.34,ci,ci37286808,2014-11-10T21:08:19.980Z,"2km WNW of Fountain Valley, California",earthquake
2014-11-10T15:12:16.980Z,33.8721667,-117.6661667,1.1,1.42,ml,28,104,0.09021,0.28,ci,ci37286800,2014-11-10T16:57:00.270Z,"9km W of Corona, California",earthquake
2014-11-10T15:06:30.000Z,63.5647,-151.0277,8.2,1.1,ml,,,,0.7,ak,ak11437744,2014-11-10T20:00:45.516Z,"105km WNW of Cantwell, Alaska",earthquake
2014-11-10T14:53:27.275Z,41.8987,-119.6942,0,2.35,ml,3,317.27,0.453,0.0729,nn,nn00467112,2014-11-10T15:10:51.191Z,"62km ESE of Lakeview, Oregon",earthquake
2014-11-10T14:47:20.760Z,37.1731667,-114.0208333,11.25,2.95,ml,19,118,0.08122,0.27,uu,uu60091342,2014-11-10T22:50:02.881Z,"28km W of Ivins, Utah",earthquake
2014-11-10T14:37:50.350Z,36.2366667,-118.3191667,3.3,1.43,ml,19,138,0.08456,0.22,ci,ci37286792,2014-11-10T16:57:06.110Z,"46km SSW of Lone Pine, California",earthquake
2014-11-10T14:24:36.160Z,-22.9501,179.9304,569.97,4.7,mb,,110,5.469,1.05,us,usc000sw0c,2014-11-10T22:27:15.977Z,"291km SSW of Ndoi Island, Fiji",earthquake
2014-11-10T14:22:35.267Z,41.8687,-119.6735,5.4232,2.27,ml,3,244.09,0.47,0.2699,nn,nn00467111,2014-11-10T15:10:45.256Z,"66km ESE of Lakeview, Oregon",earthquake
2014-11-10T14:19:09.130Z,32.8013333,-115.5758333,14.48,1.94,ml,23,106,0.1007,0.33,ci,ci37286784,2014-11-10T16:57:35.178Z,"1km NW of El Centro, California",earthquake
